epoch,beta,total_loss,recon_loss,kl_loss
1,4.0,192.30835826822917,173.9718330078125,4.584131385644277
2,4.0,163.6146357421875,133.62704918619792,7.496896603393555
3,4.0,158.46239505208334,125.22247376302083,8.309980239868164
4,4.0,155.94872807617188,121.1483684407552,8.700089935302735
5,4.0,154.4747412109375,118.82816368815104,8.911644463094076
